ID,UT,data,raingauges_id
1,1512227100,0.6,1
2,1512227400,0.8,1
3,1512227700,0.2,1
4,1512228000,0.2,1
5,1512252000,0,1
6,1512325800,0.2,1
7,1512326100,0.2,1
8,1512326400,0.4,1
9,1512326700,0.8,1
10,1512327000,0.4,1
11,1512338400,0,1
12,1512226800,0.2,2
13,1512227100,0.2,2
14,1512252000,0,2
15,1512325500,0.2,2
16,1512325800,0.6,2
17,1512326100,1.6,2
18,1512326400,1.8,2
19,1512326700,0.2,2
20,1512338400,0,2
21,1512252000,0,3
22,1512325500,0.4,3
23,1512325800,1.4,3
24,1512326100,2.6,3
25,1512326400,0.2,3
26,1512331800,0.2,3
27,1512338400,0,3
28,1512227100,1.8,4
29,1512227400,0.4,4
30,1512252000,0,4
31,1512326700,0.2,4
32,1512327600,0.2,4
33,1512338400,0,4
34,1512227400,0.4,5
35,1512227700,0.2,5
36,1512228000,0.2,5
37,1512252000,0,5
38,1512326100,0.2,5
39,1512326700,0.2,5
40,1512327000,0.6,5
41,1512327300,0.8,5
42,1512327600,0.2,5
43,1512338400,0,5
44,1512213000,0.2,6
45,1512252000,0,6
46,1512326100,0.2,6
47,1512326400,0.2,6
48,1512327000,0.2,6
49,1512327300,0.2,6
50,1512338400,0,6
51,1512361800,0.2,6
52,1512168900,0.2,7
53,1512252000,0,7
54,1512326400,0.2,7
55,1512326700,0.2,7
56,1512327300,0.8,7
57,1512327600,0.6,7
58,1512338400,0,7
59,1512252000,0,8
60,1512325200,0.2,8
61,1512325500,0.2,8
62,1512325800,0.2,8
63,1512326100,0.8,8
64,1512338400,0,8
65,1512227400,3.4,9
66,1512227700,1.2,9
67,1512228000,0.2,9
68,1512228600,0.2,9
69,1512252000,0,9
70,1512326400,0.2,9
71,1512326700,0.6,9
72,1512327000,0.8,9
73,1512327300,0.6,9
74,1512338400,0,9
75,1512252000,50,10
76,1512326700,0.2,10
77,1512327000,0.2,10
78,1512327300,2.4,10
79,1512327600,1.6,10
80,1512338400,0,10
81,1512252000,0,11
82,1512326100,0.2,11
83,1512326700,0.2,11
84,1512327000,0.4,11
85,1512327300,0.2,11
86,1512328800,0.2,11
87,1512338400,0,11
88,1512252000,0,12
89,1512327000,0.2,12
90,1512327300,0.4,12
91,1512327600,0.4,12
92,1512327900,0.2,12
93,1512329400,0.2,12
94,1512338400,0,12
95,1512199500,0.2,13
96,1512252000,0,13
97,1512326700,0.2,13
98,1512327000,0.2,13
99,1512327300,2.2,13
100,1512327600,3,13
101,1512327900,0.4,13
102,1512338400,0,13
103,1512189900,0.2,14
104,1512252000,0,14
105,1512325500,0.2,14
106,1512326100,0.4,14
107,1512326400,0.4,14
108,1512327000,0.2,14
109,1512338400,0,14
110,1512227400,0.4,15
111,1512227700,1.6,15
112,1512228000,0.2,15
113,1512252000,0,15
114,1512327000,0.2,15
115,1512327600,0.2,15
116,1512338400,0,15
117,1512252000,0,16
118,1512326100,0.2,16
119,1512326400,0.4,16
120,1512327300,1.8,16
121,1512338400,0,16
122,1512227400,0.2,17
123,1512252000,0,17
124,1512326400,0.2,17
125,1512326700,0.2,17
126,1512327600,0.2,17
127,1512327900,0.2,17
128,1512338400,0,17
129,1512227100,0.6,18
130,1512227400,0.8,18
131,1512227700,0.2,18
132,1512228000,0.2,18
133,1512252000,0,18
134,1512326100,0.2,18
135,1512326400,0.4,18
136,1512326700,0.2,18
137,1512327000,0.4,18
138,1512329100,0.2,18
139,1512338400,0,18
140,1512226500,0.4,19
141,1512226800,0.6,19
142,1512227100,0.2,19
143,1512227400,0.2,19
144,1512252000,0,19
145,1512325500,0.4,19
146,1512325800,0.6,19
147,1512326100,0.4,19
148,1512326400,0.6,19
149,1512338400,0,19
150,1512252000,0,20
151,1512327000,0.2,20
152,1512327600,0.2,20
153,1512329100,0.2,20
154,1512338400,0,20
155,1512344100,0.2,20
156,1512177900,0.2,21
157,1512210300,0.2,21
158,1512252000,0,21
159,1512261000,0.2,21
160,1512338400,0,21
161,1512252000,0,22
162,1512327600,0.2,22
163,1512328500,0.2,22
164,1512328800,0.2,22
165,1512329400,0.2,22
166,1512330000,0.2,22
167,1512330300,0.2,22
168,1512338400,0,22
169,1512204600,0.2,23
170,1512252000,0,23
171,1512327900,0.2,23
172,1512328200,0.2,23
173,1512328500,0.2,23
174,1512329400,0.2,23
175,1512330000,0.2,23
176,1512338400,0,23
177,1512252000,0,24
178,1512323100,0.2,24
179,1512336900,0.2,24
180,1512338400,0,24
181,1512252000,0,25
182,1512324900,0.2,25
183,1512325200,0.2,25
184,1512338400,0,25
185,1512252000,0,26
186,1512326400,0.2,26
187,1512326700,0.2,26
188,1512338400,0,26
189,1512345600,0.2,26
190,1512252000,0,27
191,1512325200,0.4,27
192,1512325500,0.2,27
193,1512325800,0.2,27
194,1512338400,0,27
195,1512252000,0,28
196,1512324600,0.2,28
197,1512338400,0,28
198,1512347400,0.2,28
199,1512252000,0,29
200,1512323700,0.2,29
201,1512324000,1,29
202,1512324300,0.8,29
203,1512324600,2.2,29
204,1512324900,4.8,29
205,1512325200,1,29
206,1512328200,0.2,29
207,1512338400,0,29
208,1512252000,0,30
209,1512325500,0.4,30
210,1512325800,0.2,30
211,1512338400,0,30
212,1512183300,0.2,31
213,1512198300,0.2,31
214,1512213600,0.2,31
215,1512233100,0.2,31
216,1512252000,0,31
217,1512328500,0.2,31
218,1512336900,0.2,31
219,1512338400,0,31
220,1512351900,0.2,31
221,1512362100,0.2,31
222,1512226500,0.6,32
223,1512226800,1,32
224,1512227100,0.2,32
225,1512227400,0.2,32
226,1512252000,0,32
227,1512324900,0.2,32
228,1512325800,0.2,32
229,1512326100,0.2,32
230,1512338400,0,32
231,1512219000,1.2,33
232,1512219300,1,33
233,1512219600,0.6,33
234,1512219900,0.2,33
235,1512252000,0,33
236,1512318000,0.2,33
237,1512338400,0,33
238,1512227700,0.6,34
239,1512228000,0.4,34
240,1512228300,0.2,34
241,1512228600,0.4,34
242,1512229200,0.2,34
243,1512231300,0.2,34
244,1512252000,0,34
245,1512325500,0.2,34
246,1512326400,0.2,34
247,1512338400,0,34
248,1512200400,0.2,35
249,1512252000,0,35
250,1512324600,0.2,35
251,1512338400,0,35
252,1512252000,0,36
253,1512317400,0.2,36
254,1512317700,0.2,36
255,1512318000,0.2,36
256,1512318900,0.2,36
257,1512322800,0.2,36
258,1512338400,0,36
259,1512174900,0.2,37
260,1512252000,0,37
261,1512326400,0.2,37
262,1512326700,0.2,37
263,1512327000,0.8,37
264,1512327300,0.6,37
265,1512338400,0,37
266,1512252000,0,38
267,1512326700,0.2,38
268,1512327300,0.4,38
269,1512327600,0.4,38
270,1512327900,0.4,38
271,1512329700,0.2,38
272,1512338400,0,38
273,1512252000,0,41
274,1512324600,0.2,41
275,1512324900,0.2,41
276,1512325200,0.4,41
277,1512338400,0,41
278,1512360900,0.2,41
279,1512226200,0.2,42
280,1512226500,0.2,42
281,1512226800,0.6,42
282,1512227100,0.6,42
283,1512227400,0.2,42
284,1512228600,0.2,42
285,1512229800,0.2,42
286,1512252000,0,42
287,1512325800,0.2,42
288,1512338400,0,42
289,1512252000,0,44
290,1512327000,0.2,44
291,1512327900,0.2,44
292,1512328500,0.2,44
293,1512328800,0.2,44
294,1512338400,0,44
306,1512378900,0.2,31
334,1512394500,0.8,1
335,1512396600,0.2,5
336,1512397500,0.2,5
338,1512393600,0.2,8
339,1512396300,0.2,9
340,1512396600,0.2,9
341,1512396900,0.2,9
349,1512397500,0.2,1
350,1512398400,0.2,1
352,1512396900,0.4,4
353,1512397200,0.2,4
361,1512397800,0.2,10
362,1512399900,0.2,10
363,1512397800,0.2,13
364,1512399300,0.4,14
365,1512399600,0.2,14
366,1512397200,0.2,16
367,1512397500,0.2,16
368,1512397200,0.4,17
369,1512399300,0.2,17
370,1512398400,0.2,18
371,1512398700,0.2,18
372,1512399600,0.2,18
373,1512396600,0.2,19
374,1512399600,0.2,19
375,1512399900,0.2,19
376,1512400200,0.2,19
